type,location,name,value,suspicious
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Windows Defender\Windows Defender Verifica","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Windows Defender\Windows Defender Verification"",""N/A"",""Ready"",""Interactive/Background"",""30/11/1999 00:00:00"",""267011"",""N/A"",""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpCmdRun.exe -IdleTask -TaskName WdVerification"",""N/A"",""Periodic verification task."",""Enabled"",""Disabled"",""No Start On Batteries"",""SYSTEM"",""Disabled"",""72:00:00"",""Scheduling data is not available in this format."",""On demand only"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A""",True
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Workplace Join\Automatic-Device-Join"",""N/A","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Workplace Join\Automatic-Device-Join"",""N/A"",""Disabled"",""Interactive/Background"",""30/11/1999 00:00:00"",""267011"",""N/A"",""%SystemRoot%\System32\dsregcmd.exe $(Arg0) $(Arg1) $(Arg2)"",""N/A"",""Register this computer if the computer is already joined to an Active Directory domain."",""Disabled"",""Disabled"","""",""SYSTEM"",""Disabled"",""00:05:00"",""Scheduling data is not available in this format."",""At logon time"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A""",True
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Workplace Join\Automatic-Device-Join"",""N/A","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Workplace Join\Automatic-Device-Join"",""N/A"",""Disabled"",""Interactive/Background"",""30/11/1999 00:00:00"",""267011"",""N/A"",""%SystemRoot%\System32\dsregcmd.exe $(Arg0) $(Arg1) $(Arg2)"",""N/A"",""Register this computer if the computer is already joined to an Active Directory domain."",""Disabled"",""Disabled"","""",""SYSTEM"",""Disabled"",""00:05:00"",""Scheduling data is not available in this format."",""When an event occurs"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A""",True
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Workplace Join\Recovery-Check"",""N/A"",""Disa","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Workplace Join\Recovery-Check"",""N/A"",""Disabled"",""Interactive/Background"",""30/11/1999 00:00:00"",""267011"",""N/A"",""%SystemRoot%\System32\dsregcmd.exe /checkrecovery"",""N/A"",""Performs recovery check."",""Disabled"",""Disabled"","""",""INTERACTIVE"",""Disabled"",""02:00:00"",""Scheduling data is not available in this format."",""At logon time"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A""",True
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Workplace Join\Recovery-Check"",""N/A"",""Disa","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Workplace Join\Recovery-Check"",""N/A"",""Disabled"",""Interactive/Background"",""30/11/1999 00:00:00"",""267011"",""N/A"",""%SystemRoot%\System32\dsregcmd.exe /checkrecovery"",""N/A"",""Performs recovery check."",""Disabled"",""Disabled"","""",""INTERACTIVE"",""Disabled"",""02:00:00"",""Scheduling data is not available in this format."",""When an event occurs"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A""",True
Service,Services.msc,"""AarSvc_5ba04"",""Agent Activation Runtime_5ba04"",""Stopped"",""Manual""","""AarSvc_5ba04"",""Agent Activation Runtime_5ba04"",""Stopped"",""Manual""",True
Service,Services.msc,"""BDESVC"",""BitLocker Drive Encryption Service"",""Stopped"",""Manual""","""BDESVC"",""BitLocker Drive Encryption Service"",""Stopped"",""Manual""",True
Service,Services.msc,"""CryptSvc"",""Cryptographic Services"",""Running"",""Automatic""","""CryptSvc"",""Cryptographic Services"",""Running"",""Automatic""",True
Service,Services.msc,"""edgeupdate"",""Microsoft Edge Update Service (edgeupdate)"",""Stopped"",""Automatic""","""edgeupdate"",""Microsoft Edge Update Service (edgeupdate)"",""Stopped"",""Automatic""",True
Service,Services.msc,"""edgeupdatem"",""Microsoft Edge Update Service (edgeupdatem)"",""Stopped"",""Manual""","""edgeupdatem"",""Microsoft Edge Update Service (edgeupdatem)"",""Stopped"",""Manual""",True
